DateTime,Open,High,Low,Close,Volume
2026-05-03 18:30:00,2494.0,2498.3,2425.0,2431.3,2632358
2026-05-04 18:30:00,2430.0,2460.4,2412.2,2427.3,3385720
2026-05-05 18:30:00,2441.9,2471.0,2406.5,2435.4,3147628
2026-05-06 18:30:00,2438.2,2439.7,2398.0,2401.4,5829594
2026-05-07 18:30:00,2398.0,2407.0,2375.1,2394.4,3792199
2026-05-10 18:30:00,2371.0,2415.0,2371.0,2392.9,1975188
2026-05-11 18:30:00,2375.0,2375.0,2283.0,2300.3,6347884
2026-05-12 18:30:00,2306.0,2309.2,2269.0,2272.8,3171843
2026-05-13 18:30:00,2265.0,2265.0,2206.4,2246.0,5633313
2026-05-14 18:30:00,2252.0,2304.9,2252.0,2264.0,3410637
2026-05-17 18:30:00,2264.0,2292.9,2252.2,2283.2,3773336
2026-05-18 18:30:00,2300.0,2377.6,2297.1,2327.1,10394707
2026-05-19 18:30:00,2323.9,2342.0,2317.8,2327.4,2537422
2026-05-20 18:30:00,2331.0,2335.9,2314.0,2327.2,3299087
2026-05-21 18:30:00,2331.1,2340.0,2308.1,2317.3,2617262
2026-05-24 18:30:00,2325.0,2326.1,2293.0,2308.2,3298364
2026-05-25 18:30:00,2308.2,2327.9,2272.4,2276.2,3587597
2026-05-26 18:30:00,2275.0,2295.6,2260.9,2284.2,2653950
2026-05-28 18:30:00,2291.0,2334.0,2235.0,2258.9,16331582
2026-05-31 18:30:00,2284.0,2335.0,2280.0,2297.4,7505095
2026-06-01 18:30:00,2320.0,2457.4,2316.2,2446.9,11306127
2026-06-02 18:30:00,2393.0,2393.0,2224.8,2241.7,15660062
2026-06-03 18:30:00,2241.7,2253.1,2216.6,2241.0,4867263
2026-06-04 18:30:00,2262.9,2271.8,2192.0,2198.9,5019717
2026-06-07 18:30:00,2170.0,2177.0,2143.3,2151.4,6536734
2026-06-08 18:30:00,2174.0,2174.0,2132.8,2151.0,4148655
