DateTime,Open,High,Low,Close,Volume
2026-05-03 18:30:00,772.6,786.6,772.6,779.4,29028060
2026-05-04 18:30:00,774.4,776.9,763.7,772.3,38887657
2026-05-05 18:30:00,775.15,798.95,773.5,796.55,35530831
2026-05-06 18:30:00,794.0,801.55,788.55,796.05,46137553
2026-05-07 18:30:00,784.0,788.75,777.2,780.85,38016841
2026-05-10 18:30:00,771.95,774.85,761.9,763.65,41123422
2026-05-11 18:30:00,756.6,759.7,747.8,750.45,43937132
2026-05-12 18:30:00,752.0,759.95,747.35,749.6,28960919
2026-05-13 18:30:00,751.0,778.3,747.0,769.55,50992358
2026-05-14 18:30:00,773.0,781.9,765.4,767.5,24347873
2026-05-17 18:30:00,759.0,774.1,751.35,768.65,29812079
2026-05-18 18:30:00,766.7,770.8,760.25,762.45,40307830
2026-05-19 18:30:00,759.6,762.25,755.15,759.5,24013451
2026-05-20 18:30:00,767.0,768.25,755.15,759.15,34664725
2026-05-21 18:30:00,759.15,775.0,759.15,766.8,25604071
2026-05-24 18:30:00,776.0,787.85,775.2,786.85,26043952
2026-05-25 18:30:00,784.05,790.85,776.75,778.9,31528062
2026-05-26 18:30:00,769.5,773.9,756.9,758.65,63680153
2026-05-28 18:30:00,746.05,760.5,737.75,744.55,101299431
2026-05-31 18:30:00,749.0,752.35,739.2,742.7,47996441
2026-06-01 18:30:00,737.0,753.6,733.15,748.25,47314447
2026-06-02 18:30:00,744.45,756.9,742.6,753.65,36109480
2026-06-03 18:30:00,749.15,757.3,745.0,754.2,42673538
2026-06-04 18:30:00,753.95,758.7,744.65,747.05,22116568
2026-06-07 18:30:00,738.0,741.5,734.5,738.65,21550700
2026-06-08 18:30:00,739.45,743.95,732.3,738.35,38539563
2026-06-09 18:30:00,736.5,755.95,736.4,746.85,44458159
2026-06-10 18:30:00,743.0,756.0,740.1,744.6,32632007
2026-06-11 18:30:00,754.7,774.45,753.1,772.45,36088159
2026-06-14 18:30:00,790.0,793.5,775.6,777.35,39990334
2026-06-15 18:30:00,780.5,787.7,779.45,784.9,27820970
2026-06-16 18:30:00,787.65,794.3,783.1,787.1,32405604
2026-06-17 18:30:00,786.5,802.95,786.2,799.0,41492071
