DateTime,Open,High,Low,Close,Volume
2026-05-03 18:30:00,1433.4,1467.4,1433.4,1463.1,24035700
2026-05-04 18:30:00,1460.0,1473.4,1450.0,1463.6,23543341
2026-05-05 18:30:00,1463.0,1473.3,1427.5,1437.9,14221786
2026-05-06 18:30:00,1438.8,1449.5,1430.3,1436.2,19816903
2026-05-07 18:30:00,1426.0,1442.8,1417.5,1435.2,8663105
2026-05-10 18:30:00,1420.0,1428.0,1382.0,1388.2,15261787
2026-05-11 18:30:00,1392.0,1393.5,1360.3,1364.0,24357500
2026-05-12 18:30:00,1361.4,1372.4,1352.4,1358.8,13797989
2026-05-13 18:30:00,1365.2,1378.0,1358.4,1361.8,17303059
2026-05-14 18:30:00,1356.8,1364.8,1329.2,1336.4,19976192
2026-05-17 18:30:00,1334.0,1342.0,1318.7,1335.9,13022473
2026-05-18 18:30:00,1338.7,1344.0,1318.4,1322.7,21665501
2026-05-19 18:30:00,1318.7,1362.9,1312.6,1359.7,13248515
2026-05-20 18:30:00,1367.2,1370.9,1345.2,1349.6,17150630
2026-05-21 18:30:00,1350.0,1367.4,1349.1,1354.5,7105813
2026-05-24 18:30:00,1366.8,1371.1,1357.0,1367.0,6750071
2026-05-25 18:30:00,1360.1,1368.5,1352.4,1356.3,13769747
2026-05-26 18:30:00,1353.0,1361.0,1348.6,1350.5,13215138
2026-05-28 18:30:00,1364.0,1369.0,1317.0,1321.2,42634247
2026-05-31 18:30:00,1332.5,1335.5,1318.5,1320.0,10700603
2026-06-01 18:30:00,1307.7,1327.8,1300.3,1314.6,23302785
2026-06-02 18:30:00,1315.0,1324.0,1301.0,1313.2,20012293
2026-06-03 18:30:00,1301.0,1311.2,1293.1,1303.7,23474327
2026-06-04 18:30:00,1304.5,1306.0,1288.0,1291.0,17785223
2026-06-07 18:30:00,1277.0,1282.6,1259.2,1263.3,16494759
2026-06-08 18:30:00,1269.0,1274.2,1257.5,1269.2,23620214
2026-06-09 18:30:00,1275.0,1300.5,1254.4,1258.8,21012796
2026-06-10 18:30:00,1258.0,1276.0,1253.2,1263.0,13117486
2026-06-11 18:30:00,1277.0,1297.0,1262.5,1293.0,11988785
2026-06-14 18:30:00,1315.3,1325.0,1303.3,1307.0,18633321
2026-06-15 18:30:00,1313.4,1333.4,1306.4,1328.8,18513223
2026-06-16 18:30:00,1333.0,1334.0,1317.0,1332.7,10029170
2026-06-17 18:30:00,1330.0,1333.9,1322.0,1328.1,15494549
2026-06-18 18:30:00,1328.0,1338.2,1305.3,1309.5,24887034
2026-06-21 18:30:00,1316.7,1344.9,1314.1,1326.5,12931213
2026-06-22 18:30:00,1328.9,1333.0,1304.0,1309.5,15400184
2026-06-23 18:30:00,1305.7,1322.0,1297.5,1313.6,11030917
2026-06-24 18:30:00,1318.0,1328.0,1314.6,1318.1,12694362
2026-06-28 18:30:00,1308.0,1313.7,1292.6,1301.0,13757656
2026-06-29 18:30:00,1306.9,1306.9,1290.0,1293.9,15695263
2026-06-30 18:30:00,1298.9,1312.2,1296.5,1308.0,7001401
2026-07-01 18:30:00,1310.0,1313.2,1299.0,1303.5,17795024
2026-07-02 18:30:00,1312.0,1312.0,1302.0,1304.0,7839550
2026-07-05 18:30:00,1304.0,1325.6,1299.4,1321.3,7610709
