DateTime,Open,High,Low,Close,Volume
2026-05-03 18:30:00,1268.3,1294.4,1264.5,1275.1,9759479
2026-05-04 18:30:00,1268.0,1273.7,1252.0,1259.7,10163714
2026-05-05 18:30:00,1275.0,1301.0,1255.2,1294.2,7277673
2026-05-06 18:30:00,1299.0,1308.1,1281.2,1292.7,6785048
2026-05-07 18:30:00,1280.0,1282.0,1264.6,1268.3,6358595
2026-05-10 18:30:00,1258.7,1283.0,1251.7,1272.3,7341360
2026-05-11 18:30:00,1270.4,1274.0,1256.9,1260.1,5727828
2026-05-12 18:30:00,1256.1,1275.3,1247.5,1255.7,6045406
2026-05-13 18:30:00,1256.6,1269.0,1235.8,1254.6,5822618
2026-05-14 18:30:00,1259.6,1263.4,1242.0,1244.8,4805485
2026-05-17 18:30:00,1239.0,1242.0,1222.1,1237.9,6052023
