DateTime,Open,High,Low,Close,Volume
2026-05-03 18:30:00,202.4,203.37,200.06,200.75,8446995
2026-05-04 18:30:00,200.0,202.3,199.6,199.78,8899200
2026-05-05 18:30:00,200.51,201.13,198.25,199.12,13166683
2026-05-06 18:30:00,199.5,200.28,197.19,197.36,19303572
2026-05-07 18:30:00,198.0,198.94,196.7,197.91,15970687
2026-05-10 18:30:00,197.88,198.24,196.15,196.68,9199527
2026-05-11 18:30:00,196.1,196.14,189.1,189.57,27435195
2026-05-12 18:30:00,190.67,191.3,187.31,187.8,17242394
2026-05-13 18:30:00,188.25,190.18,187.0,188.3,18280387
2026-05-14 18:30:00,189.9,191.9,188.8,190.0,17902610
2026-05-17 18:30:00,190.99,192.75,189.2,192.17,16327369
2026-05-18 18:30:00,192.4,198.0,192.4,195.17,20534622
2026-05-19 18:30:00,194.61,197.94,194.01,197.12,16201692
2026-05-20 18:30:00,198.5,200.04,197.5,199.74,18980608
2026-05-21 18:30:00,200.0,205.4,198.83,203.11,40014399
2026-05-24 18:30:00,207.0,209.55,204.06,206.84,72041558
2026-05-25 18:30:00,206.99,208.69,202.94,203.73,46458415
2026-05-26 18:30:00,203.85,205.99,200.2,201.58,39465643
2026-05-28 18:30:00,211.0,211.0,203.65,204.25,82734524
2026-05-31 18:30:00,205.1,207.75,205.1,206.41,26491139
2026-06-01 18:30:00,208.0,210.18,206.51,209.84,42476874
2026-06-02 18:30:00,208.0,208.4,202.0,204.1,62282204
2026-06-03 18:30:00,203.0,205.09,202.1,204.32,40659957
2026-06-04 18:30:00,191.52,199.0,188.15,198.37,43539069
2026-06-07 18:30:00,193.39,193.89,181.0,181.76,75164049
2026-06-08 18:30:00,183.97,184.35,180.6,181.67,28381665
2026-06-09 18:30:00,182.1,182.29,178.5,178.93,16935979
2026-06-10 18:30:00,176.97,178.2,175.83,177.37,14468882
2026-06-11 18:30:00,178.65,180.45,177.57,180.14,13850153
2026-06-14 18:30:00,183.0,183.0,180.91,181.38,13870660
2026-06-15 18:30:00,182.39,183.38,181.63,182.67,11706020
2026-06-16 18:30:00,184.0,185.25,183.58,184.47,16131548
2026-06-17 18:30:00,184.47,184.76,181.71,182.84,18165845
2026-06-18 18:30:00,176.76,181.48,174.89,180.8,37469436
2026-06-21 18:30:00,180.84,182.4,180.0,180.18,10368112
2026-06-22 18:30:00,179.5,179.5,174.0,174.49,23954730
2026-06-23 18:30:00,171.5,175.49,171.49,174.48,56627728
2026-06-24 18:30:00,176.0,176.39,172.69,175.0,21544904
2026-06-28 18:30:00,176.28,176.69,174.6,175.48,24484011
2026-06-29 18:30:00,175.0,175.4,170.05,170.39,26845383
2026-06-30 18:30:00,171.0,172.15,169.25,170.13,34638511
2026-07-01 18:30:00,169.49,174.97,169.0,174.0,43447174
2026-07-02 18:30:00,176.2,178.14,174.59,176.08,29538753
2026-07-05 18:30:00,176.08,176.3,173.57,174.32,8304046
2026-07-06 18:30:00,173.9,176.2,172.77,173.0,18837725
2026-07-07 18:30:00,173.0,175.4,172.24,172.72,16482564
2026-07-08 18:30:00,173.0,174.29,171.65,172.76,10270117
2026-07-09 18:30:00,175.23,177.22,175.0,175.46,16249590
2026-07-12 18:30:00,174.6,179.95,174.36,178.43,22417855
2026-07-13 00:00:00,174.60000610351562,179.9499969482422,174.36000061035156,178.42999267578125,22417855
2026-07-13 18:30:00,178.5,180.5,176.71,177.14,14461463
2026-07-14 00:00:00,178.5,180.5,176.7100067138672,177.13999938964844,14461463
2026-07-14 18:30:00,175.12,176.6,174.49,174.65,10398720
2026-07-15 00:00:00,175.1199951171875,176.60000610351562,174.49000549316406,174.64999389648438,10398720
2026-07-15 18:30:00,175.6,177.99,175.41,177.74,11184572
2026-07-16 00:00:00,175.60000610351562,177.99000549316406,175.41000366210938,177.74000549316406,11184572
2026-07-16 18:30:00,173.55,176.26,173.55,176.0,22960032
2026-07-17 00:00:00,173.5500030517578,176.25999450683594,173.5500030517578,176.0,22960032
2026-07-19 18:30:00,177.0,177.8,175.85,176.38,10183661
2026-07-20 18:30:00,176.11,177.5,174.5,174.97,11350578
2026-07-21 18:30:00,174.77,174.96,173.42,174.44,5057035
