DateTime,Open,High,Low,Close,Volume
2026-05-03 18:30:00,1195.0,1195.0,1165.2,1168.4,7735811
2026-05-04 18:30:00,1169.5,1185.2,1160.1,1178.1,8164108
2026-05-05 18:30:00,1187.0,1191.5,1164.1,1167.2,9856963
2026-05-06 18:30:00,1173.0,1175.4,1159.2,1162.7,12013987
2026-05-07 18:30:00,1161.0,1183.5,1158.8,1179.2,7582770
2026-05-10 18:30:00,1176.0,1187.0,1172.1,1177.0,7336288
2026-05-11 18:30:00,1162.0,1162.0,1123.0,1140.3,16891948
2026-05-12 18:30:00,1136.6,1142.6,1121.0,1123.1,6664111
2026-05-13 18:30:00,1119.8,1121.9,1089.0,1095.0,16914842
2026-05-14 18:30:00,1102.0,1133.2,1101.6,1119.0,17482450
2026-05-17 18:30:00,1119.0,1146.1,1118.0,1142.5,12096377
2026-05-18 18:30:00,1162.0,1198.4,1162.0,1196.9,32175705
2026-05-19 18:30:00,1187.0,1206.9,1184.9,1193.7,15121010
2026-05-20 18:30:00,1196.1,1201.8,1177.0,1181.2,10021033
2026-05-21 18:30:00,1182.5,1191.8,1172.5,1174.5,8803066
2026-05-24 18:30:00,1183.0,1185.0,1166.1,1168.5,5856136
2026-05-25 18:30:00,1166.3,1180.7,1162.9,1167.7,8005767
2026-05-26 18:30:00,1161.0,1167.3,1155.0,1159.9,6371871
2026-05-28 18:30:00,1182.0,1210.0,1153.6,1160.9,69085430
2026-05-31 18:30:00,1175.0,1217.0,1173.7,1202.5,19439331
2026-06-01 18:30:00,1232.5,1278.9,1232.5,1270.8,36032600
2026-06-02 18:30:00,1242.1,1249.9,1216.0,1222.6,18534303
2026-06-03 18:30:00,1208.0,1215.2,1196.2,1201.3,12755957
2026-06-04 18:30:00,1220.0,1223.8,1194.3,1197.5,8692290
2026-06-07 18:30:00,1177.5,1200.7,1176.5,1187.6,8631711
2026-06-08 18:30:00,1193.6,1193.6,1167.3,1180.3,10984054
2026-06-09 18:30:00,1160.1,1171.4,1143.3,1145.3,8887626
