DateTime,Open,High,Low,Close,Volume
2026-05-03 18:30:00,1264.3,1282.2,1264.3,1270.8,14597051
2026-05-04 18:30:00,1264.0,1266.7,1245.5,1251.3,24447935
2026-05-05 18:30:00,1262.0,1282.8,1252.1,1279.5,22909586
2026-05-06 18:30:00,1284.7,1294.0,1273.2,1279.0,25028552
2026-05-07 18:30:00,1279.6,1279.6,1261.2,1264.8,11137424
2026-05-10 18:30:00,1259.4,1275.7,1252.0,1266.4,18980488
2026-05-11 18:30:00,1256.0,1259.9,1236.3,1240.3,21110708
2026-05-12 18:30:00,1238.3,1249.2,1227.2,1235.6,19490295
2026-05-13 18:30:00,1239.1,1256.7,1236.0,1246.0,16535600
2026-05-14 18:30:00,1246.6,1258.0,1242.0,1244.5,11745614
2026-05-17 18:30:00,1235.5,1253.7,1232.0,1251.1,13918850
2026-05-18 18:30:00,1251.1,1256.3,1229.8,1240.8,38929053
2026-05-19 18:30:00,1230.0,1239.7,1223.3,1237.3,14953103
2026-05-20 18:30:00,1245.3,1248.3,1234.4,1242.8,14394386
2026-05-21 18:30:00,1242.0,1270.8,1242.0,1264.3,11601085
2026-05-24 18:30:00,1271.0,1293.5,1270.9,1291.8,13853923
2026-05-25 18:30:00,1290.0,1301.8,1276.2,1279.1,18400405
2026-05-26 18:30:00,1286.0,1293.4,1266.7,1272.7,18366272
2026-05-28 18:30:00,1275.1,1287.8,1247.9,1256.4,31007884
2026-05-31 18:30:00,1257.1,1261.9,1235.9,1239.7,9911975
2026-06-01 18:30:00,1233.0,1237.7,1220.7,1226.6,17920892
2026-06-02 18:30:00,1219.9,1248.3,1213.7,1242.0,13934754
2026-06-03 18:30:00,1232.2,1262.3,1232.2,1251.7,19461560
2026-06-04 18:30:00,1257.0,1265.0,1250.0,1262.1,10166393
2026-06-07 18:30:00,1246.4,1254.0,1243.1,1250.2,10714196
2026-06-08 18:30:00,1255.0,1279.9,1252.7,1275.0,22368579
2026-06-09 18:30:00,1271.3,1306.0,1271.3,1293.3,25951584
2026-06-10 18:30:00,1286.5,1333.0,1286.5,1317.0,35919374
2026-06-11 18:30:00,1330.0,1344.3,1318.7,1340.8,18339846
2026-06-14 18:30:00,1354.6,1362.7,1325.3,1327.6,16172921
2026-06-15 18:30:00,1331.9,1337.3,1326.3,1334.3,13069159
2026-06-16 18:30:00,1342.0,1346.0,1333.4,1336.8,8026424
2026-06-17 18:30:00,1333.6,1346.9,1331.4,1342.3,13467985
2026-06-18 18:30:00,1340.5,1352.3,1332.0,1346.5,9057322
2026-06-21 18:30:00,1353.0,1362.7,1348.4,1352.4,4814845
2026-06-22 18:30:00,1358.0,1369.1,1331.5,1338.3,11884879
2026-06-23 18:30:00,1338.3,1338.3,1338.3,1338.3,967959
2026-06-24 18:30:00,1381.9,1404.0,1380.1,1387.5,17173209
2026-06-28 18:30:00,1390.0,1402.0,1383.2,1387.6,13249405
2026-06-29 18:30:00,1402.0,1402.0,1366.1,1375.2,18398057
2026-06-30 18:30:00,1371.4,1385.1,1367.7,1379.8,11948034
2026-07-01 18:30:00,1381.9,1405.0,1376.8,1400.0,15779429
2026-07-02 18:30:00,1414.0,1420.0,1405.9,1411.4,12901785
2026-07-05 18:30:00,1412.0,1431.6,1411.6,1426.9,12306949
2026-07-06 18:30:00,1431.6,1433.0,1410.0,1414.7,15664178
2026-07-07 18:30:00,1410.3,1418.3,1375.9,1380.6,10573142
2026-07-08 18:30:00,1382.9,1403.6,1377.3,1380.7,13948838
2026-07-09 18:30:00,1389.7,1408.2,1389.6,1401.2,6409645
2026-07-12 18:30:00,1393.5,1413.0,1386.3,1409.5,10091437
2026-07-13 18:30:00,1400.0,1411.8,1392.0,1407.7,14133017
