Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,1047.4,BUY,+4/6,HOLD,92.1,60.5,1018.1,1106.0
HDFCBANK,796.15,BUY,+5/6,HOLD,95.9,57.1,771.53,845.39
RELIANCE,1308.0,HOLD,-1/6,HOLD,98.5,47.2,,
TCS,1982.6,HOLD,-2/6,HOLD,93.2,29.2,,
INFY,985.3,HOLD,-2/6,HOLD,95.4,29.1,,
ICICIBANK,1379.8,BUY,+4/6,HOLD,94.8,67.1,1343.21,1452.99
WIPRO,170.13,HOLD,-2/6,HOLD,96.7,27.7,,
AXISBANK,1368.7,HOLD,+1/6,HOLD,93.1,60.5,,
