Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,1034.6,BUY,+5/6,HOLD,87.8,59.1,1006.07,1091.65
HDFCBANK,793.2,BUY,+4/6,HOLD,99.2,58.6,770.11,839.38
RELIANCE,1309.5,HOLD,-1/6,HOLD,92.7,46.6,,
TCS,2059.6,SELL,-3/6,HOLD,94.8,34.7,2149.64,1879.52
INFY,1029.3,SELL,-3/6,HOLD,98.4,33.8,1084.18,919.54
ICICIBANK,1373.6,BUY,+3/6,HOLD,89.0,68.9,1337.95,1444.89
WIPRO,174.48,SELL,-4/6,HOLD,88.0,30.6,181.58,160.29
AXISBANK,1384.5,BUY,+3/6,HOLD,98.3,69.9,1354.22,1445.07
