Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,987.0,SELL,-4/6,HOLD,97.3,38.8,1012.16,936.69
HDFCBANK,738.6,BUY,+4/6,HOLD,98.1,58.3,717.39,781.02
RELIANCE,1240.4,SELL,-3/6,HOLD,96.5,38.6,1270.4,1180.41
TCS,2105.0,SELL,-3/6,HOLD,95.8,34.0,2207.95,1899.09
INFY,1029.4,SELL,-3/6,HOLD,92.1,35.0,1070.21,947.79
ICICIBANK,1339.6,SELL,-3/6,HOLD,98.8,31.9,1368.5,1281.8
WIPRO,166.0,HOLD,-2/6,HOLD,82.1,35.8,,
AXISBANK,1242.7,SELL,-3/6,HOLD,98.9,47.4,1274.81,1178.48
