Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,1017.15,BUY,+4/6,HOLD,99.5,58.5,986.16,1079.14
HDFCBANK,772.45,HOLD,-1/6,HOLD,82.3,54.7,,
RELIANCE,1293.0,SELL,-3/6,HOLD,94.0,41.5,1334.49,1210.02
TCS,2161.4,SELL,-3/6,HOLD,91.1,37.2,2253.51,1977.19
INFY,1116.4,SELL,-3/6,HOLD,86.3,37.7,1164.4,1020.4
ICICIBANK,1340.8,BUY,+3/6,HOLD,93.5,66.3,1297.43,1427.55
WIPRO,180.14,SELL,-3/6,HOLD,89.3,33.4,189.11,162.2
AXISBANK,1356.3,BUY,+3/6,HOLD,88.8,67.4,1310.59,1447.72
