Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,994.1,SELL,-3/6,HOLD,91.0,42.0,1017.9,946.5
HDFCBANK,737.25,BUY,+4/6,HOLD,95.2,57.5,717.11,777.53
RELIANCE,1248.0,SELL,-3/6,HOLD,95.5,41.4,1276.78,1190.45
TCS,2089.6,SELL,-3/6,HOLD,92.9,32.9,2184.31,1900.19
INFY,1020.5,SELL,-3/6,HOLD,89.0,33.4,1058.73,944.05
ICICIBANK,1340.0,SELL,-3/6,HOLD,98.7,32.0,1367.24,1285.51
WIPRO,164.9,SELL,-4/6,HOLD,90.9,34.3,170.01,154.69
AXISBANK,1243.2,SELL,-3/6,HOLD,98.6,47.6,1273.65,1182.3
