Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,996.0,SELL,-3/6,HOLD,94.2,41.5,1020.69,946.62
HDFCBANK,739.5,BUY,+4/6,HOLD,98.8,58.8,717.5,783.5
RELIANCE,1247.4,SELL,-3/6,HOLD,96.4,40.2,1278.67,1184.87
TCS,2128.7,SELL,-3/6,HOLD,96.4,35.9,2238.95,1908.19
INFY,1038.5,SELL,-3/6,HOLD,91.7,36.5,1080.55,954.39
ICICIBANK,1345.0,SELL,-3/6,HOLD,99.0,33.1,1375.25,1284.5
WIPRO,164.55,SELL,-3/6,HOLD,98.6,32.2,170.2,153.25
AXISBANK,1250.0,SELL,-3/6,HOLD,97.8,49.7,1283.47,1183.05
