Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,963.2,SELL,-3/6,HOLD,94.6,31.8,1006.92,875.76
HDFCBANK,767.5,SELL,-3/6,HOLD,95.9,44.4,795.24,712.03
RELIANCE,1336.4,SELL,-4/6,HOLD,93.3,39.6,1383.34,1242.52
TCS,2264.0,SELL,-3/6,HOLD,88.9,30.4,2353.78,2084.44
INFY,1119.0,SELL,-4/6,HOLD,83.1,33.9,1166.36,1024.28
ICICIBANK,1244.5,SELL,-3/6,HOLD,95.1,40.1,1279.89,1173.73
WIPRO,190.0,SELL,-3/6,HOLD,91.7,36.3,195.69,178.63
AXISBANK,1244.8,SELL,-3/6,HOLD,94.8,39.5,1289.05,1156.3
