Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,939.4,HOLD,-2/6,HOLD,95.1,28.7,,
HDFCBANK,768.65,SELL,-3/6,HOLD,97.7,44.8,797.24,711.47
RELIANCE,1335.9,SELL,-4/6,HOLD,98.2,39.5,1381.24,1245.22
TCS,2283.2,SELL,-3/6,HOLD,83.1,33.6,2369.15,2111.3
INFY,1142.5,SELL,-4/6,HOLD,70.3,39.5,1189.16,1049.17
ICICIBANK,1251.1,SELL,-3/6,HOLD,87.9,42.2,1286.11,1181.08
WIPRO,192.17,SELL,-3/6,HOLD,83.5,40.8,197.81,180.9
AXISBANK,1237.9,SELL,-3/6,HOLD,93.3,38.1,1280.79,1152.12
