Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,1038.1,BUY,+5/6,HOLD,97.6,55.9,1011.38,1091.54
HDFCBANK,829.3,BUY,+3/6,HOLD,95.5,67.1,803.59,880.71
RELIANCE,1308.4,HOLD,-1/6,HOLD,98.9,47.9,,
TCS,2096.1,HOLD,-1/6,HOLD,90.4,45.0,,
INFY,1071.8,HOLD,+1/6,HOLD,95.7,47.6,,
ICICIBANK,1414.7,BUY,+3/6,HOLD,96.3,66.4,1374.77,1494.56
WIPRO,173.0,HOLD,-2/6,HOLD,93.6,36.1,,
AXISBANK,1341.0,HOLD,+1/6,HOLD,81.0,51.3,,
