Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,978.5,SELL,-3/6,HOLD,98.1,37.4,1002.79,929.92
HDFCBANK,728.9,HOLD,+1/6,HOLD,86.5,52.7,,
RELIANCE,1219.2,SELL,-3/6,HOLD,96.3,34.9,1249.9,1157.8
TCS,2087.0,SELL,-3/6,HOLD,93.8,32.6,2175.04,1910.92
INFY,1014.5,SELL,-3/6,HOLD,91.7,32.4,1051.15,941.2
ICICIBANK,1334.5,SELL,-3/6,HOLD,97.7,30.7,1361.65,1280.2
WIPRO,163.64,SELL,-3/6,HOLD,95.4,32.6,168.53,153.87
AXISBANK,1186.5,SELL,-3/6,HOLD,83.8,33.8,1226.53,1106.44
