Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,1037.0,BUY,+3/6,HOLD,92.5,54.8,1007.62,1095.75
HDFCBANK,817.95,BUY,+5/6,HOLD,94.0,60.2,794.77,864.3
RELIANCE,1296.9,HOLD,-1/6,HOLD,90.0,46.5,,
TCS,2181.5,HOLD,+0/6,HOLD,91.6,54.9,,
INFY,1102.6,HOLD,+0/6,HOLD,93.8,53.8,,
ICICIBANK,1409.5,BUY,+3/6,HOLD,95.9,62.2,1367.4,1493.71
WIPRO,178.43,HOLD,+1/6,HOLD,90.3,47.6,,
AXISBANK,1319.4,HOLD,-2/6,HOLD,89.7,46.5,,
