Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,988.7,SELL,-3/6,HOLD,97.8,38.5,1016.77,932.56
HDFCBANK,713.0,HOLD,+1/6,HOLD,96.9,46.8,,
RELIANCE,1243.9,SELL,-3/6,HOLD,96.3,35.9,1274.66,1182.38
TCS,2190.0,SELL,-3/6,HOLD,97.3,39.4,2297.74,1974.52
INFY,1058.6,SELL,-3/6,HOLD,82.2,40.2,1103.45,968.89
ICICIBANK,1347.6,SELL,-3/6,HOLD,98.0,32.0,1379.56,1283.68
WIPRO,166.4,SELL,-3/6,HOLD,94.4,34.1,172.16,154.88
AXISBANK,1240.0,SELL,-3/6,HOLD,90.1,46.5,1276.65,1166.7
