Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,969.6,SELL,-4/6,HOLD,91.2,38.8,1004.25,900.3
HDFCBANK,786.85,HOLD,-1/6,HOLD,92.1,53.5,,
RELIANCE,1367.0,SELL,-3/6,HOLD,99.1,48.9,1408.96,1283.08
TCS,2308.2,HOLD,-2/6,HOLD,89.9,38.1,,
INFY,1168.5,HOLD,-1/6,HOLD,94.9,45.1,,
ICICIBANK,1291.8,HOLD,+0/6,HOLD,93.5,55.3,,
WIPRO,206.84,BUY,+4/6,HOLD,96.1,63.4,200.05,220.42
AXISBANK,1311.2,HOLD,+2/6,HOLD,93.5,58.4,,
