Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,1036.0,BUY,+3/6,HOLD,94.8,54.5,1006.9,1094.19
HDFCBANK,824.95,BUY,+4/6,HOLD,96.1,62.4,799.89,875.06
RELIANCE,1307.8,HOLD,-1/6,HOLD,95.7,49.5,,
TCS,2069.0,HOLD,+1/6,HOLD,96.5,43.8,,
INFY,1068.0,HOLD,+1/6,HOLD,98.9,47.7,,
ICICIBANK,1401.2,BUY,+3/6,HOLD,95.6,60.7,1358.78,1486.04
WIPRO,175.46,HOLD,-1/6,HOLD,93.8,41.8,,
AXISBANK,1323.7,HOLD,+0/6,HOLD,96.6,47.7,,
