Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,1044.3,BUY,+3/6,HOLD,96.8,57.0,1016.08,1100.75
HDFCBANK,819.6,BUY,+3/6,HOLD,94.7,60.4,798.67,861.46
RELIANCE,1327.2,HOLD,+2/6,HOLD,84.0,56.3,,
TCS,2269.0,BUY,+4/6,HOLD,97.0,63.6,2170.55,2465.91
INFY,1096.5,HOLD,+2/6,HOLD,95.5,53.0,,
ICICIBANK,1444.3,HOLD,+2/6,HOLD,97.7,70.8,,
WIPRO,176.0,HOLD,-1/6,HOLD,98.9,45.1,,
AXISBANK,1328.5,HOLD,-1/6,HOLD,93.2,50.5,,
