Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,1025.0,HOLD,+1/6,HOLD,94.0,48.4,,
HDFCBANK,753.15,SELL,-3/6,HOLD,99.2,36.8,779.45,700.56
RELIANCE,1288.6,HOLD,-1/6,HOLD,95.3,44.4,,
TCS,2208.3,BUY,+3/6,HOLD,91.2,54.7,2125.61,2373.67
INFY,1052.1,HOLD,-1/6,HOLD,78.4,43.8,,
ICICIBANK,1440.7,BUY,+5/6,HOLD,92.4,63.3,1400.11,1521.87
WIPRO,174.44,HOLD,-1/6,HOLD,92.3,42.3,,
AXISBANK,1238.4,SELL,-3/6,HOLD,89.5,31.7,1286.62,1141.96
