Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,983.0,SELL,-4/6,HOLD,97.1,39.4,1005.79,937.42
HDFCBANK,735.6,BUY,+4/6,HOLD,97.5,55.9,714.62,777.56
RELIANCE,1226.0,SELL,-3/6,HOLD,97.2,37.4,1255.99,1166.03
TCS,2082.0,SELL,-3/6,HOLD,93.6,32.2,2168.72,1908.56
INFY,1000.2,SELL,-3/6,HOLD,87.2,30.0,1036.54,927.52
ICICIBANK,1326.8,HOLD,-2/6,HOLD,95.2,29.0,,
WIPRO,164.02,SELL,-4/6,HOLD,94.5,33.7,168.82,154.41
AXISBANK,1222.4,SELL,-3/6,HOLD,82.1,44.7,1264.79,1137.62
