Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,979.25,HOLD,+1/6,HOLD,95.3,45.2,,
HDFCBANK,754.2,SELL,-3/6,HOLD,87.1,43.8,779.03,704.53
RELIANCE,1303.7,SELL,-3/6,HOLD,92.5,35.7,1341.88,1227.35
TCS,2241.0,HOLD,-1/6,HOLD,97.7,40.5,,
INFY,1201.3,BUY,+3/6,HOLD,94.4,50.9,1142.89,1318.11
ICICIBANK,1251.7,HOLD,-1/6,HOLD,96.7,46.6,,
WIPRO,204.32,BUY,+5/6,HOLD,99.5,54.9,196.73,219.5
AXISBANK,1253.3,SELL,-3/6,HOLD,96.2,43.3,1293.9,1172.1
