Symbol,Price (₹),Signal,Rule score,ML signal,ML conf %,RSI,Stop Loss (₹),Target (₹)
SBIN,1024.2,BUY,+5/6,HOLD,95.0,55.8,996.82,1078.95
HDFCBANK,774.65,BUY,+3/6,HOLD,97.1,51.7,749.83,824.28
RELIANCE,1309.5,HOLD,-1/6,HOLD,95.8,46.5,,
TCS,2059.6,SELL,-3/6,HOLD,94.3,31.7,2152.22,1874.36
INFY,1029.3,SELL,-3/6,HOLD,97.6,31.2,1086.74,914.42
ICICIBANK,1338.3,BUY,+5/6,HOLD,81.6,61.6,1301.31,1412.28
WIPRO,174.49,SELL,-3/6,HOLD,86.3,30.6,181.76,159.96
AXISBANK,1363.5,BUY,+4/6,HOLD,97.8,65.4,1331.2,1428.11
